Product,Description,MedDRA Preferred Terms
earths best organic soy infant formula  powder, Baby Food Products,"IRRITABILITY, ANXIETY"
earths best organic soy infant formula powder, Baby Food Products,"RASH, DIARRHOEA"
earths best organic soy infant formula powdered, Baby Food Products,"VOMITING, MALAISE, DIARRHOEA, ANXIETY"
earths best organic stage ii oatmeal and prunes, Baby Food Products,VOMITING
earths best organic sweet pea turkey and wild rice, Baby Food Products,"DIARRHOEA, DIARRHOEA"
earths best organic sweet potato and chicken dinner, Baby Food Products,"VOMITING, DIARRHOEA"
earths best organic wheatfree teething biscuits, Baby Food Products,CHOKING
earths best organic whole grain rice cereal, Baby Food Products,"FLATULENCE, DIARRHOEA, HYPERSENSITIVITY, GASTROINTESTINAL DISORDER, ALLERGIC COLITIS, CONSTIPATION"
earths best peach mango oatmeal yogurt ready to feed baby food, Baby Food Products,"VOMITING, RETCHING"
earths best peach oatmeal and banana, Baby Food Products,VOMITING
earths best rice cereal, Baby Food Products,VOMITING
earths best teething biscuits, Baby Food Products,CHOKING
earths best turkey and vegetables, Baby Food Products,"VOMITING, URINARY TRACT INFECTION, ESCHERICHIA BACTERAEMIA, DEHYDRATION"
earths best various dinners, Baby Food Products,BLOOD LEAD INCREASED
earths best vegetable chicken soup, Baby Food Products,CHOKING
earths best whole grain multi grain baby cereal, Baby Food Products,CHOKING
earths best whole grain oatmeal, Cereal Prep/Breakfast Food,"VOMITING, PYREXIA, DECREASED APPETITE"
earths best whole grain rice cereal, Baby Food Products,"URTICARIA, URTICARIA, RESPIRATORY TRACT CONGESTION, RASH, HYPERSENSITIVITY"
earths best wholesome breakfast blueberry and banana, Baby Food Products,"VOMITING, URTICARIA, URTICARIA"
earths pride 100 whole bean coffee, Coffee/Tea,"SPEECH DISORDER, PHARYNGITIS, OROPHARYNGEAL SWELLING, LARYNGITIS, APHONIA, SPEECH DISORDER, PHARYNGITIS, OROPHARYNGEAL SWELLING, LARYNGITIS, APHONIA"
eartth bound farms organic baby spinach, Vegetables/Vegetable Products,"VOMITING, ABDOMINAL PAIN"
eas 100 per cent whey protein vanilla, Dietary Conventional Foods/Meal Replacements,"VOMITING, FATIGUE, DIARRHOEA, ASTHENIA, VOMITING, FATIGUE, DIARRHOEA, ASTHENIA"
eas advant edge carb control chocolate fudge, Dietary Conventional Foods/Meal Replacements,"VOMITING, RETCHING, MALAISE"
eas advant edge carb control chocolate fudge shake, Dietary Conventional Foods/Meal Replacements,"VOMITING, NAUSEA"
eas advant edge carb control cold brew coffee, Dietary Conventional Foods/Meal Replacements,Pharyngeal oedema
eas advant edge carb control nutrition bar, Dietary Conventional Foods/Meal Replacements,"SYNCOPE, LOSS OF CONSCIOUSNESS, DIARRHOEA, ABDOMINAL PAIN"
eas advant edge chocolate fudge lowcarb drink, Vegetables/Vegetable Products,"NAUSEA, NAUSEA, HEADACHE"
eas advantage carb control chocolate, Dietary Conventional Foods/Meal Replacements,"NAUSEA, DIARRHOEA"
eas advantedge carb control get lean  toned shake, Dietary Conventional Foods/Meal Replacements,"THROAT IRRITATION, PHARYNGEAL OEDEMA, HYPERSENSITIVITY, DYSPHAGIA"
eas advantedge carb control readytodrink shake cho, Dietary Conventional Foods/Meal Replacements,"GLOSSODYNIA, BURNING SENSATION"
eas advantedge protein drink cafe carmel, Dietary Conventional Foods/Meal Replacements,"VERTIGO, MYOCARDIAL INFARCTION"
eas asvantage protein drink in tera pak, Dietary Conventional Foods/Meal Replacements,"VERTIGO, MYOCARDIAL INFARCTION"
eas brand muscle milk, Dietary Conventional Foods/Meal Replacements,"VOMITING, RASH, PRURITUS, NAUSEA, LIVER INJURY, INTERFERON ALPHA LEVEL INCREASED, INTERFERON ALPHA LEVEL INCREASED, HEPATITIS, HEPATIC STEATOSIS, CHROMATURIA, CHOLELITHIASIS, BLOOD BILIRUBIN INCREASED, BLOOD BILIRUBIN INCREASED, BLOOD BILIRUBIN INCREASED, BLOOD BILIRUBIN INCREASED, ASPARTATE AMINOTRANSFERASE INCREASED, ASPARTATE AMINOTRANSFERASE INCREASED, ASPARTATE AMINOTRANSFERASE INCREASED, ALANINE AMINOTRANSFERASE INCREASED, ALANINE AMINOTRANSFERASE INCREASED, ALANINE AMINOTRANSFERASE INCREASED"
eas complete protein nutirtion shake mixchocolate, Dietary Conventional Foods/Meal Replacements,"EMOTIONAL DISTRESS, ANXIETY"
eas muscle milk, Dietary Conventional Foods/Meal Replacements,"OEDEMA, NAUSEA, MYALGIA, LIVER INJURY, JAUNDICE, HEPATIC ENZYME INCREASED, HEPATIC ENZYME INCREASED, CHOLESTASIS, BLOOD CREATINE PHOSPHOKINASE INCREASED, BLOOD BILIRUBIN INCREASED, BLOOD ALKALINE PHOSPHATASE INCREASED, ABDOMINAL PAIN"
east bay seafood fresh tuna loins, Fishery/Seafood Prod,"RASH, NAUSEA, FOOD ALLERGY, FLUSHING, DIARRHOEA, FOOD ALLERGY, DIARRHOEA, FOOD ALLERGY, DIARRHOEA"
east bay seafood yellow fin tuna loin, Fishery/Seafood Prod,"RASH, DIARRHOEA"
east coast fresh pico de guaco, Dressing/Condiment,"HYPOAESTHESIA, DIARRHOEA, ABDOMINAL DISTENSION, DIARRHOEA"
east sea blue crabs live, Fishery/Seafood Prod,"GASTROINTESTINAL DISORDER, GASTROENTERITIS VIBRIO, DIARRHOEA, GASTROINTESTINAL DISORDER, GASTROENTERITIS VIBRIO, DIARRHOEA"
eastwind community nut butter peanut butter, Nuts/Edible Seed,"VOMITING, FEELING OF BODY TEMPERATURE CHANGE, DIARRHOEA, CHILLS"
easy kefir, Milk/Butter/Dried Milk Prod,"Rash, Diarrhoea"
easybake cinnamon roll mixes  cinnabon, Bakery Prod/Dough/Mix/Icing,"VOMITING, ABDOMINAL PAIN UPPER, ABDOMINAL PAIN, ABDOMINAL DISCOMFORT"
easybake easybake cinnamon roll mixes  cinnabon, Bakery Prod/Dough/Mix/Icing,"VOMITING, ABDOMINAL DISCOMFORT"
easybake oreo chocolate and creme cake, Bakery Prod/Dough/Mix/Icing,"VOMITING, ABDOMINAL DISCOMFORT, VOMITING, ABDOMINAL PAIN UPPER, ABDOMINAL PAIN, ABDOMINAL DISCOMFORT"
eat me guilt free tuxedo cookie, Bakery Prod/Dough/Mix/Icing,"Pruritus, Erythema, Dyspnoea, Anaphylactic shock, Anaphylactic reaction"
eat rite low carb chicupo deep dish, Cheese/Cheese Prod,"NAUSEA, HEADACHE"
eat smart broccoli florets, Vegetables/Vegetable Products,"VOMITING, TENDERNESS, PYREXIA, PAIN, PAIN, MALAISE, FEELING OF BODY TEMPERATURE CHANGE, DIARRHOEA, CHILLS, VOMITING, PYREXIA, MALAISE, FEELING OF BODY TEMPERATURE CHANGE, DIARRHOEA, CHILLS, VOMITING, PYREXIA, MALAISE, FEELING OF BODY TEMPERATURE CHANGE, DIARRHOEA, CHILLS, VOMITING, PYREXIA, MALAISE, FEELING OF BODY TEMPERATURE CHANGE, DIARRHOEA, CHILLS, VOMITING, PYREXIA, MALAISE, FEELING OF BODY TEMPERATURE CHANGE, DIARRHOEA, CHILLS"
eat smart broccoli slaw, Prep Salad Prod,NAUSEA
eat smart sweet kale chomfrise doux salad kit, Prep Salad Prod,"THROAT IRRITATION, PAIN, LOSS OF CONSCIOUSNESS, GASTROOESOPHAGEAL REFLUX DISEASE, FOOD POISONING, DYSPEPSIA, DIARRHOEA, ASTHENIA, ABDOMINAL DISCOMFORT"
eat smart sweet kale vegetable salad kit, Vegetables/Vegetable Products,Diarrhoea
eat well be well oat product like oatmeal, Cereal Prep/Breakfast Food,DIZZINESS
eat well embrace life zesty sriracha carrot hummus, Mult Food Dinner/Grav/Sauce/Special,"DIARRHOEA, ABDOMINAL PAIN"
eathbound farm organic spring mix greens, Prep Salad Prod,"MALAISE, DIARRHOEA, ABDOMINAL PAIN"
eating right broccoil florets, Vegetables/Vegetable Products,"URTICARIA, DYSPEPSIA, ABDOMINAL PAIN UPPER, ABDOMINAL PAIN"
eating right prepackaged sweet butter blend lettuce, Vegetables/Vegetable Products,"VOMITING, INFLAMMATION, INFECTION, ABDOMINAL PAIN"
eating right safeway brand zero calorie pomegranate black cherry flavored water, Soft Drink/Water,"MALAISE, GASTROINTESTINAL DISORDER"
eating right spinach, Vegetables/Vegetable Products,"VOMITING, NAUSEA, HEADACHE, DIARRHOEA, ABDOMINAL PAIN"
eating right spring mix bagged salad europen style radicchio baby spinich, Vegetables/Vegetable Products,"URTICARIA, RASH"
eating right strawberry yogurt, Milk/Butter/Dried Milk Prod,"NAUSEA, CHEMICAL POISONING, ABDOMINAL PAIN UPPER"
eatrite frozen low carb chicago deep dish pizza uno, Cheese/Cheese Prod,"NAUSEA, ABDOMINAL DISTENSION"
eatsmart broccoli florets, Vegetables/Vegetable Products,"NAUSEA, MALAISE, DIARRHOEA, ABDOMINAL PAIN UPPER, ABDOMINAL PAIN, VOMITING, NAUSEA, MALAISE, HEADACHE, DIARRHOEA, ABDOMINAL PAIN UPPER, ABDOMINAL PAIN"
eatzi madetoorder romaine salad, Prep Salad Prod,"PAIN, LETHARGY, DIARRHOEA, CHILLS"
ecce panis classic ciabatta loaf, Bakery Prod/Dough/Mix/Icing,"SWELLING FACE, LOCAL SWELLING, HYPERSENSITIVITY, HYPERSENSITIVITY"
echo falls scottish smoked salmon, Fishery/Seafood Prod,PAIN
ecipse wrigley sugarfree chewing gum, Candy W/O Choc/Special/Chew Gum,"TENDERNESS, PAIN, HYPERSENSITIVITY, CARDIAC INFECTION"
eclair dessert, Bakery Prod/Dough/Mix/Icing,"SWOLLEN TONGUE, OROPHARYNGEAL SWELLING, DYSPNOEA, ANAPHYLACTIC REACTION"
eclipse gum, Candy W/O Choc/Special/Chew Gum,"DYSGEUSIA, ABDOMINAL PAIN UPPER"
eclipse lemon ice lemon fresh breath sugarless gum, Candy W/O Choc/Special/Chew Gum,TOOTH DISORDER
eclipse mints, Candy W/O Choc/Special/Chew Gum,HEADACHE
ecoplanet instant hot cereal original flavor, Cereal Prep/Breakfast Food,"VOMITING, TREMOR, HEADACHE, FATIGUE, FAECAL INCONTINENCE, DIARRHOEA, ABDOMINAL PAIN"
edaleen 2 reduced fat milk, Milk/Butter/Dried Milk Prod,DIARRHOEA
edamame soybeans blanched in pods, Vegetables/Vegetable Products,"VOMITING, EMOTIONAL DISTRESS"
eddies quality louisiana raw oysters, Fishery/Seafood Prod,"NAUSEA, HEADACHE, HAEMATOCHEZIA, DIARRHOEA, CHOLERA, ABDOMINAL PAIN"
eddies quality oyster, Fishery/Seafood Prod,"MYALGIA, MUSCULOSKELETAL DISORDER, GASTROENTERITIS VIBRIO"
eddies quality oysters, Fishery/Seafood Prod,"NAUSEA, MALAISE, HEADACHE, DIARRHOEA, ABDOMINAL PAIN"
eddys chocolate ice cream, Ice Cream Prod,"VOMITING, RETCHING, ASTHENIA, ABDOMINAL PAIN"
eden fruit cocktail, Fruit/Fruit Prod,DYSGEUSIA
eden hiziki dried seaweed, Vegetables/Vegetable Products,"NAUSEA, FLATULENCE, HYPERHIDROSIS, HEART RATE INCREASED, FLUSHING, DYSPEPSIA, DIARRHOEA"
eden prairie essentials everyday creamer, Milk/Butter/Dried Milk Prod,"PARAESTHESIA, PARAESTHESIA, PAIN IN JAW, PAIN IN EXTREMITY, MUSCLE FATIGUE, MOTOR DYSFUNCTION, HYPOAESTHESIA, HYPOAESTHESIA, CEREBROVASCULAR ACCIDENT, ABDOMINAL PAIN UPPER"
eden soy soy milk, Filled Milk/Imit Milk Prod,"MALAISE, DIARRHOEA"
eden unsweetened organic soy milk, Filled Milk/Imit Milk Prod,"VOMITING, NAUSEA"
eden unsweetened organic soy milk, Milk/Butter/Dried Milk Prod,NAUSEA
edible arrangements fruit basket, Fruit/Fruit Prod,"HAEMORRHAGE, HAEMOPTYSIS, EPISTAXIS"
edna pretzel, Snack Food Item,Hypersensitivity
edna pretzel roll, Bakery Prod/Dough/Mix/Icing,Hypersensitivity
edna spitzbroetchen crusty roll, Bakery Prod/Dough/Mix/Icing,Hypersensitivity
edwards frozen strawberry cream pie, Bakery Prod/Dough/Mix/Icing,"VOMITING, NAUSEA, GASTROENTERITIS, DEHYDRATION"
edwards key lime pie, Bakery Prod/Dough/Mix/Icing,"Vomiting, Malaise, Frequent bowel movements"
edwards lemon meringue pie, Bakery Prod/Dough/Mix/Icing,NAUSEA
edwards pie, Bakery Prod/Dough/Mix/Icing,"NAUSEA, ABDOMINAL PAIN UPPER, NAUSEA, DIARRHOEA"
edwards strawberry cream pie frozen, Bakery Prod/Dough/Mix/Icing,VOMITING
edys apple pie, Ice Cream Prod,CHOKING
edys butter pecan ice cream, Ice Cream Prod,"VOMITING, NAUSEA"
edys carb benifit chocolate, Ice Cream Prod,LACERATION
edys cherry chocolate chip ice cream, Ice Cream Prod,TOOTH INJURY
edys chocolate ice cream, Ice Cream Prod,COLITIS MICROSCOPIC
edys dibs vanilla ice cream with nestle drumstick with peanut coating, Ice Cream Prod,"FATIGUE, DIARRHOEA"
edys fat free chocolate vanilla, Ice Cream Prod,"STOMACH DISCOMFORT, DIARRHOEA"
edys french vanilla ice cream, Ice Cream Prod,DYSPEPSIA
edys fruit bar, Ice Cream Prod,HYPOAESTHESIA ORAL
edys fruit bars all flavors frozen, Ice Cream Prod,"DIARRHOEA, ABDOMINAL DISCOMFORT"
edys fruit bars lime, Ice Cream Prod,"ORAL DISCOMFORT, BURNING SENSATION"
edys fruit bars made with real fruit grape cherry tropical, Ice Cream Prod,"NAUSEA, MALAISE, VOMITING, MALAISE, DIARRHOEA"
edys fudge tracks ice cream no sugar added half the fat, Ice Cream Prod,"DIARRHOEA, VOMITING, NAUSEA, HEADACHE, DIARRHOEA, CHILLS, ABDOMINAL PAIN"
edys grand cherry chocolate chip ice cream, Ice Cream Prod,"LOOSE STOOLS, DIARRHOEA, ABDOMINAL PAIN UPPER, ABDOMINAL PAIN"
edys grand ice cream cherry chocolate chip, Ice Cream Prod,"VOMITING, HEADACHE, DIARRHOEA, ABDOMINAL PAIN UPPER, ABDOMINAL PAIN, VOMITING, HEADACHE, EMERGENCY CARE EXAMINATION, DIARRHOEA, ABDOMINAL PAIN UPPER"
edys grand ice cream mint chocolate chip, Ice Cream Prod,"URTICARIA, PRURITUS"
edys grand ice cream original rocky road, Ice Cream Prod,HYPOAESTHESIA ORAL
edys grand ice cream peanut butter cup ice cream, Ice Cream Prod,LACERATION
edys grand ice cream vanilla bean, Ice Cream Prod,"VOMITING, NAUSEA, FEELING OF BODY TEMPERATURE CHANGE, FEELING HOT, DIARRHOEA, ABDOMINAL PAIN, VOMITING, NAUSEA, FEELING OF BODY TEMPERATURE CHANGE, FEELING HOT, DIARRHOEA, ABDOMINAL PAIN"
edys grand light neopolitan ice cream, Ice Cream Prod,BURNING SENSATION
edys grape fruit bars, Fruit/Fruit Prod,"CAUSTIC INJURY, BURNING SENSATION"
edys ice cream, Ice Cream Prod,"HYPERSENSITIVITY, ABDOMINAL PAIN UPPER, ABDOMINAL DISTENSION"
edys ice cream french silk, Ice Cream Prod,HYPERSENSITIVITY
edys ice cream nestle drum sticks sundae fun flavors, Ice Cream Prod,LACERATION
edys ice cream with peanut butter, Ice Cream Prod,"VOMITING, MALAISE, FEELING OF BODY TEMPERATURE CHANGE, DIARRHOEA, ABDOMINAL PAIN"
edys light caramel delight ice cream, Ice Cream Prod,CHOKING
edys mango flavored fruit bars, Fruit/Fruit Prod,"VOMITING, NAUSEA, HEADACHE, CHILLS, APPETITE DISORDER"
edys peanut butter cup ice cream, Ice Cream Prod,"NAUSEA, MALAISE, DIARRHOEA"
edys slow chruned coffee ice cream, Ice Cream Prod,NAUSEA
edys slow churn black raspberry ice cream, Ice Cream Prod,"VOMITING, NAUSEA, ABDOMINAL PAIN UPPER, ABDOMINAL PAIN"
edys slow churn yogurt blend chocolate fudge brownie ice cream, Ice Cream Prod,"LIP SWELLING, HYPERSENSITIVITY, DYSPNOEA"
edys slow churned coffee, Ice Cream Prod,"GASTROINTESTINAL DISORDER, DIARRHOEA, ABDOMINAL PAIN, ABDOMINAL DISTENSION, ABDOMINAL DISTENSION"
edys slow churned double fudge brownie ice cream 12 the fat, Ice Cream Prod,"VOMITING, LETHARGY, DIARRHOEA, VOMITING, DIARRHOEA"
edys slow churned ice cream with peanut butter chips, Ice Cream Prod,"MALAISE, DIARRHOEA"
edys slow churned mint chocolate chip, Ice Cream Prod,"HEADACHE, DIARRHOEA, ABDOMINAL PAIN, ABDOMINAL DISCOMFORT, HEADACHE, DIARRHOEA, ABDOMINAL PAIN, ABDOMINAL DISCOMFORT"
edys slow churned the original rocky road ice cream, Ice Cream Prod,"NAUSEA, INFLUENZA LIKE ILLNESS, DIARRHOEA, CHOKING, NAUSEA, INFLUENZA LIKE ILLNESS, DIARRHOEA"
edys triple chocolate no sugar added ice cream, Ice Cream Prod,THROAT IRRITATION
edys vanilla ice cream with splenda, Ice Cream Prod,"RASH, PALPITATIONS, DISORIENTATION, DIARRHOEA, ABDOMINAL PAIN UPPER"
edys whole fruit fruit bar popsicles, Ice Cream Prod,"ORAL DISCOMFORT, MEDICATION ERROR, CRYING, ORAL DISCOMFORT, MEDICATION ERROR, CRYING"
efuton houttuynia tea, Coffee/Tea,"THROAT TIGHTNESS, PAIN, GENERAL PHYSICAL HEALTH DETERIORATION, DYSPNOEA, BURNING SENSATION"
egg, Egg/Egg Prod,"VOMITING, VISION BLURRED, DIARRHOEA, BODY TEMPERATURE INCREASED, ABDOMINAL PAIN, DIARRHOEA, LACERATION"
egg beaters conagra liquid egg product, Egg/Egg Prod,"VOMITING, TENDERNESS, DIARRHOEA"
egg beaters egg substitute, Egg/Egg Prod,"MUCOUS MEMBRANE DISORDER, HYPERSENSITIVITY, DYSPNOEA, DYSPHAGIA, BARRETT'S OESOPHAGUS"
egg lands best eggs, Egg/Egg Prod,"VOMITING, GASTROENTERITIS SALMONELLA, DIARRHOEA"
egg salad sandwich, Prep Salad Prod,"Pruritus, Ocular hyperaemia, Nasal congestion, Hypersensitivity, Eye swelling, Eye irritation"
egg sandwich, Egg/Egg Prod,"VOMITING, RECTAL HAEMORRHAGE, HOSPITALISATION, FEELING ABNORMAL, DIARRHOEA"
eggland large eggs, Egg/Egg Prod,VOMITING
egglands best eggs, Egg/Egg Prod,"PAIN, HEADACHE, FATIGUE, ABDOMINAL PAIN, PALPITATIONS, HEART RATE IRREGULAR, HEART RATE INCREASED, CARDIAC FIBRILLATION"
egglands best grade a brown eggs, Egg/Egg Prod,"ANAPHYLACTIC REACTION, DIARRHOEA, ABDOMINAL PAIN"
egglands best grade a large eggs, Egg/Egg Prod,"MALAISE, GASTRITIS, ABDOMINAL PAIN, TREMOR, TREMOR, POISONING, PAIN, MYALGIA, MUSCULOSKELETAL DISCOMFORT, CONFUSIONAL STATE, BONE PAIN, ARTHRALGIA"
egglands best large fresh eggs, Egg/Egg Prod,"NAUSEA, DIARRHOEA, MALAISE, DIARRHOEA"
egglands best large grade a white eggs, Egg/Egg Prod,"VOMITING, DIARRHOEA"
eggo cinnamon toast waffle frozen, Bakery Prod/Dough/Mix/Icing,"HEADACHE, BURNING SENSATION"
eggo homestyle frozen waffles, Bakery Prod/Dough/Mix/Icing,DYSGEUSIA
eggo nutrigrain waffles, Bakery Prod/Dough/Mix/Icing,NAUSEA
eggs, Egg/Egg Prod,"VOMITING, VISION BLURRED, FEELING OF BODY TEMPERATURE CHANGE, DIARRHOEA, VOMITING, NAUSEA, HEADACHE, DIZZINESS, VOMITING, VISION BLURRED, EMERGENCY CARE EXAMINATION, DYSPEPSIA, DIZZINESS, DIARRHOEA, NAUSEA, ABDOMINAL PAIN, VOMITING, DIARRHOEA, ABDOMINAL PAIN, BURNING SENSATION, SEPSIS, FOOD POISONING, BETA HAEMOLYTIC STREPTOCOCCAL INFECTION, BETA HAEMOLYTIC STREPTOCOCCAL INFECTION, BACTERIAL INFECTION, VOMITING, NAUSEA, IMPAIRED WORK ABILITY, FATIGUE, DIARRHOEA, VOMITING, DIARRHOEA, ABDOMINAL PAIN, ABDOMINAL DISCOMFORT, Vomiting, Fatigue, Diarrhoea, Abdominal pain upper, Vomiting, Pyrexia, Diarrhoea, Malaise, Rash, Hypersensitivity"
eggs whole inshell, Egg/Egg Prod,"VOMITING, NAUSEA, HEADACHE, FATIGUE, DIARRHOEA, DECREASED APPETITE, VOMITING, FATIGUE, DIARRHOEA, DECREASED APPETITE"
eight oclock coffee, Coffee/Tea,"ABDOMINAL PAIN UPPER, ABDOMINAL PAIN"
eight oclock coffee french whole bean coffee, Coffee/Tea,"VOMITING, VISUAL DISTURBANCE, NAUSEA, HEADACHE, HALLUCINATION, DIARRHOEA"
eighth continent soy milk, Filled Milk/Imit Milk Prod,DIARRHOEA
eighty twenty ventures bootea, Coffee/Tea,"WHITE BLOOD CELL COUNT INCREASED, VOMITING, PAIN, NAUSEA, FULL BLOOD COUNT ABNORMAL"
eilleens country mix peanut raisen candy, Nuts/Edible Seed,"TOOTHACHE, TOOTH DISORDER"
eilliens candies cashew halves and pieces, Nuts/Edible Seed,NAUSEA
eilliens pine nuts, Nuts/Edible Seed,"DYSGEUSIA, DYSGEUSIA"
eilliens trail mix containing peanuts cashews and almonds, Nuts/Edible Seed,"URTICARIA, PRURITUS, HYPERSENSITIVITY, GINGIVAL SWELLING, DYSPNOEA"
el alteno granola, Cereal Prep/Breakfast Food,"SWELLING FACE, SWELLING, LOCAL SWELLING, LIP SWELLING, HYPOAESTHESIA, FOOD ALLERGY, DYSPNOEA, DYSPHAGIA"
el camino beef and bean burrito," Meat, Meat Products and Poultry",TOOTH INJURY
el camino real bakeries organic simple bites fruit seeds  nut clusters, Snack Food Item,"VOMITING, FEELING OF BODY TEMPERATURE CHANGE, FEELING COLD, DIZZINESS, CEREBROVASCULAR ACCIDENT, BURNING SENSATION, BLOOD PRESSURE DECREASED"
el campesino tomato salsa, Mult Food Dinner/Grav/Sauce/Special,"NAUSEA, ABDOMINAL PAIN"
el chilar pelo pelo rico tamarindflavored candy, Candy W/O Choc/Special/Chew Gum,BLOOD LEAD INCREASED
el dorado flour tortillas, Mult Food Dinner/Grav/Sauce/Special,"VOMITING, VISION BLURRED, EMERGENCY CARE EXAMINATION, DYSPEPSIA, DIZZINESS, DIARRHOEA"
el fudge original, Bakery Prod/Dough/Mix/Icing,"HYPERSENSITIVITY, DISCOMFORT"
el gallito mexican style crumbling queso, Cheese/Cheese Prod,"VOMITING, PYREXIA, NAUSEA, GASTROENTERITIS ESCHERICHIA COLI, FEELING OF BODY TEMPERATURE CHANGE, DIARRHOEA, CHILLS, ABDOMINAL DISCOMFORT"
el guapo camaron natural dried shrimp, Fishery/Seafood Prod,"VOMITING, NAUSEA, HYPERHIDROSIS, DIARRHOEA, ABDOMINAL PAIN, VOMITING, NAUSEA, HYPERHIDROSIS, HYPERHIDROSIS, DIARRHOEA, ABDOMINAL PAIN"
el mexicano coconut juice beverage, Beverage Bases/Conc/Nectar,CHOKING
el mexicano masa tamal instant corn masa mix, Whole Grain/Milled Grain Prod/Starch,MOUTH INJURY
el milagro tortilla chips, Snack Food Item,"NAUSEA, DIARRHOEA, NAUSEA, DIARRHOEA"
el monterery beef and bean red chili burrito, Mult Food Dinner/Grav/Sauce/Special,EMOTIONAL DISTRESS
el monterey bean and cheese burrito, Mult Food Dinner/Grav/Sauce/Special,"VOMITING, DYSPEPSIA"
el monterey bean and cheese burritos, Mult Food Dinner/Grav/Sauce/Special,DIARRHOEA
el monterey beef and bean green chili burrito, Mult Food Dinner/Grav/Sauce/Special,VOMITING
el monterey burrito bean  cheese frozen, Mult Food Dinner/Grav/Sauce/Special,"MOUTH INJURY, LACERATION"
el monterey chicken and cheese min," Meat, Meat Products and Poultry",FOOD POISONING
el potrero pine nuts roasted, Nuts/Edible Seed,"HYPERSENSITIVITY, DYSGEUSIA"
el ranchero corn chips, Snack Food Item,CHEST PAIN
el ranchito corn tortillas, Bakery Prod/Dough/Mix/Icing,"NAUSEA, ABDOMINAL PAIN"
el rey rice pudding, Gelatin/Rennet/Pudding Mix/Pie Filling,"NAUSEA, MALAISE"
el roy disco mi jao 61, Choc/Cocoa Prod,"VOMITING, HYPERSENSITIVITY"
el sabroso guacachip tortilla chips flavored with avocados, Snack Food Item,"NAUSEA, GASTROINTESTINAL DISORDER, BODY TEMPERATURE INCREASED, ASTHENIA"
el sabroso pork rinds hot  spicy chcharrones, Snack Food Item,"VOMITING, HEADACHE, DYSPNOEA, DIARRHOEA, COLD SWEAT, CHILLS"
el sembrador frozen churros, Snack Food Item,BURNING SENSATION
el sembrador pigeon peas, Vegetables/Vegetable Products,"TOOTH INJURY, TOOTH DISORDER"
el sol de mexico chilie de arbol moledo ground," Spices, Flavors And Salts","SUICIDAL IDEATION, MOOD ALTERED, DEPRESSION, ANXIETY"
el toro granulated garlic," Spices, Flavors And Salts","OEDEMA PERIPHERAL, OEDEMA, HEART RATE ABNORMAL, GENERALISED OEDEMA, CARDIAC FIBRILLATION, BLOOD PRESSURE INCREASED, BLOOD PRESSURE FLUCTUATION"
elations black cherry flavored for healthier joints, Dietary Conventional Foods/Meal Replacements,"VOMITING, DIARRHOEA, ABDOMINAL PAIN"
elecare, Baby Food Products,"WEIGHT DECREASED, VOMITING, GASTROOESOPHAGEAL REFLUX DISEASE, DYSPNOEA, DIARRHOEA, DECREASED APPETITE"
elecare hypoallergenic infant formula, Baby Food Products,"VOMITING, DIARRHOEA, BODY TEMPERATURE INCREASED, VOMITING, ORAL DISCOMFORT, VOMITING, ORAL DISCOMFORT"
elecare jr, Dietary Conventional Foods/Meal Replacements,"VOMITING, DIARRHOEA"
elecare junior unflavored, Dietary Conventional Foods/Meal Replacements,Hypersensitivity
electrolit electrolyte beverage, Soft Drink/Water,"Paraesthesia, Nausea, Hypoaesthesia, Hyperkalaemia, Headache"
elegant gourmet sweet williams hand decorated gingerbread boy cookie, Bakery Prod/Dough/Mix/Icing,"VISION BLURRED, TINNITUS, THROAT IRRITATION, SALIVARY HYPERSECRETION, SALIVARY GLAND DISORDER, RESPIRATORY DISTRESS, PARAESTHESIA, HYPERSENSITIVITY, DEAFNESS, VISION BLURRED, TINNITUS, THROAT IRRITATION, SALIVARY HYPERSECRETION, SALIVARY GLAND DISORDER, RESPIRATORY DISTRESS, PARAESTHESIA, HYPERSENSITIVITY, DEAFNESS"
elite bittersweet chocolate bar, Choc/Cocoa Prod,PRURITUS
elite sugar free cookies, Bakery Prod/Dough/Mix/Icing,BLOOD GLUCOSE INCREASED
elizabar double day ball rice crispy treats, Snack Food Item,HYPERSENSITIVITY
elizabeths natural health mix, Snack Food Item,VOMITING
ellas kitchen apple  ginger baby cookies, Bakery Prod/Dough/Mix/Icing,"DIARRHOEA, DIARRHOEA"
ellas kitchen vegetable bake, Baby Food Products,CONSTIPATION
ellyndale nutty infusions roasted cashew butter, Nuts/Edible Seed,"Pyrexia, Nausea, Food poisoning, Fatigue, Disorientation, Decreased appetite, Confusional state, Abdominal pain upper, Abdominal discomfort"
elmhurst dairy whole milk grade a, Milk/Butter/Dried Milk Prod,"VOMITING, DIZZINESS, DIARRHOEA, APPETITE DISORDER, DIARRHOEA, DIARRHOEA, DIARRHOEA, VOMITING, DIARRHOEA"
elmhurst diary 1 low fat milk, Milk/Butter/Dried Milk Prod,"VOMITING, VOMITING"
embasa whole jalapenos in escabeche jalapeno peppers, Vegetables/Vegetable Products,VOMITING
emerald 100calorie pack of  almonds, Nuts/Edible Seed,VOMITING
emerald cocoa roast almonds dark chocolate, Choc/Cocoa Prod,URTICARIA
