Product,Description,MedDRA Preferred Terms
harmon face values salon formula moisturizing shampoo, Cosmetics,"SKIN EXFOLIATION, HYPERSENSITIVITY, HAEMORRHAGE, DRY SKIN, DERMATITIS ALLERGIC, DERMATITIS, BURNING SENSATION, BLISTER"
hashmi surma special eye liner, Cosmetics,BLOOD LEAD INCREASED
hashmi surma special eyeliner, Cosmetics,BLOOD LEAD INCREASED
hask coconut milk  organic honey curl care shampoo, Cosmetics,"Trichorrhexis, Alopecia"
hatchimals bath bomb, Cosmetics,"Scar, Pain, Limb injury, Insomnia, Haemorrhage, Erythema, Dermatitis, Chemical injury"
hautte polish, Cosmetics,"RASH, BURNING SENSATION, BLISTER"
havana spirit, Cosmetics,INJURY
hawaiian detox sheet mask, Cosmetics,Rash
hawaiian silk no lye relaxer, Cosmetics,ALOPECIA
head and shoulders nourishing scalp shampoo, Cosmetics,"WOUND, TRICHORRHEXIS, SKIN FISSURES, SECRETION DISCHARGE, PAIN OF SKIN, HAEMORRHAGE, DERMATITIS, ALOPECIA"
headcovers unlimited eyelash and eyebrow glue, Cosmetics,"SCAR, IMPAIRED WORK ABILITY, EYE SWELLING, EYE INFLAMMATION, CHEMICAL BURN OF SKIN, AGITATION"
healing balm, Cosmetics,"CONDITION AGGRAVATED, BURNING SENSATION"
healing garden massage lotion, Cosmetics,"SKIN DISCOLOURATION, RASH, PRURITUS, PAIN, HYPERSENSITIVITY, BURNING SENSATION"
healthy sexy hair triwheat leavein conditioner, Cosmetics,"SKIN EXFOLIATION, RASH, PRURITUS"
helene curtis suave 2 in 1 kids shampoo wild watermelon, Cosmetics,"VISUAL DISTURBANCE, VISUAL ACUITY REDUCED, STEROID THERAPY, OPHTHALMOLOGICAL EXAMINATION, IRITIS, GLAUCOMA, EYE REDNESS, EYE PAIN, EYE INFLAMMATION, CHEMOTHERAPY, CHEMICAL EYE INJURY, CAUSTIC INJURY"
hello kitty lip gloss, Cosmetics,"RASH PAPULAR, ORAL PAIN, LIP SWELLING, HYPERSENSITIVITY"
hello kitty mint chocolate chip chap stick, Cosmetics,BURNING SENSATION
hemp shampoo and conditioner naturelle, Cosmetics,"PARAESTHESIA, HYPOTRICHOSIS, DYSPNOEA, ALOPECIA, PARAESTHESIA"
henna, Cosmetics,"THERMAL BURN, RASH, PRURITUS, OEDEMA PERIPHERAL, RASH, BLISTER, SKIN IRRITATION, SKIN HAEMORRHAGE, CAUSTIC INJURY, SKIN SWELLING, PRURITUS, PAIN, NAUSEA, ERYTHEMA, CHILLS, LOCAL SWELLING, RASH ERYTHEMATOUS, PRURITUS, ERYTHEMA, Skin exfoliation, Hypersensitivity, Blister"
henna city jagua ink tattoo kit, Cosmetics,"RASH, DYSPNOEA"
henna gora black cream formula for eyebrows and eyelashes, Cosmetics,"SWELLING, SKIN IRRITATION, HYPERSENSITIVITY, CONJUNCTIVITIS, BURNING SENSATION"
henna powder and essential oil, Cosmetics,"RASH, PRURITUS, HYPERSENSITIVITY"
henna tattoo, Cosmetics,"RASH, PRURITUS, SWELLING, RASH, PRURITUS, SWELLING, RASH, HYPERSENSITIVITY, BLISTER, URTICARIA, RASH, HYPERSENSITIVITY, BLISTER, RASH, PRURITUS, BURNING SENSATION, SWELLING, RASH, RASH, SCAR, BLISTER, SWELLING, SKIN DISCOLOURATION, RASH PAPULAR, PRURITUS, HYPERSENSITIVITY, SCAR, HYPERSENSITIVITY, BLISTER, SKIN DISCOLOURATION, RASH, PRURITUS, ERYTHEMA, BLISTER, SKIN EXFOLIATION, BLISTER, ERYTHEMA, DERMATITIS, BLISTER, URTICARIA, SKIN DISCOLOURATION, RASH, PRURITUS, PAIN, WOUND, BLISTER, SWELLING, SKIN REACTION, SCAR, Rash, Local swelling, Erythema, Swelling, Skin discolouration, Scar, Hypersensitivity, Dermatitis, Burning sensation, Blister, Rash pruritic, Erythema, Burning sensation, Swelling, Scar, Erythema, Skin irritation, Skin burning sensation, Local swelling, Hypersensitivity, Erythema, Rash pruritic, Erythema"
henna tattoo  dye, Cosmetics,"SWELLING, PRURITUS, INFECTION, ERYTHEMA"
henna tattoo black, Cosmetics,"PRURITUS, ERYTHEMA, BLISTER, HYPERSENSITIVITY, HYPERSENSITIVITY"
henna tattoo black hair dye, Cosmetics,"PRURITUS, HAIR COLOUR CHANGES, BLISTER"
henna tattoo henna tattoo, Cosmetics,"SWELLING, PRURITUS, EMERGENCY CARE EXAMINATION"
henna tattoo ink, Cosmetics,"SWELLING, PRURITUS, BURNING SENSATION, BLISTER"
henna tattooblack, Cosmetics,"PRURITUS, ERYTHEMA, ERYTHEMA, BLISTER"
henna temporary tattoo, Cosmetics,"BLISTER, SCAR, RASH"
henna used at tatoo store, Cosmetics,RASH
herbal essence hair color 56 almond bliss lt brown, Cosmetics,"NAUSEA, MIGRAINE, DIZZINESS"
herbal essence hair dye  black saffire  70, Cosmetics,"SWELLING, BURNING SENSATION, BLISTER"
herbal essence naked conditioner, Cosmetics,BURNING SENSATION
herbal essence shampoo, Cosmetics,"SWELLING, SKIN TIGHTNESS, PRURITUS, PAIN, OCULAR HYPERAEMIA, HYPERSENSITIVITY, EYE SWELLING, ERYTHEMA, RASH, ALLERGY TO CHEMICALS, ALLERGY TEST POSITIVE"
herbal essence white grapefruit  mosa mint dry shampoo, Cosmetics,Headache
herbal essences biorenew detox black charcoal shampoo, Cosmetics,"Self esteem decreased, Burning sensation, Alopecia"
herbal essences hello hydration shampoo, Cosmetics,"URTICARIA, RASH, HYPERSENSITIVITY"
herbal essences set me up mousse, Cosmetics,"SKIN INJURY, HAIR DISORDER, DYSPNOEA"
herbal essences touchably smooth smoothing serum, Cosmetics,"PHOTOPHOBIA, OCULAR HYPERAEMIA, LACRIMATION INCREASED, EYE PAIN, EYE IRRITATION, CORNEAL ABRASION"
herbal insanity bath fizzy, Cosmetics,Rash
herbal power peel microdermabrasion treatment, Cosmetics,"Skin tightness, Skin injury, Skin disorder, Skin discomfort, Local swelling, Erythema, Dry skin, Chemical injury"
herbal springs antibacterial soap, Cosmetics,"PHYSICAL EXAMINATION, MEDICATION ERROR, FLATULENCE"
herbal womb detox pearls, Cosmetics,"VAGINAL INFECTION, TOXIC SHOCK SYNDROME"
herbalogix cbd enhanced body lotion, Cosmetics,Pain
hermes 24 faubourg perfume or cologne, Cosmetics,"PHARYNGITIS, HEADACHE, DYSPNOEA, DISTURBANCE IN ATTENTION, CONFUSIONAL STATE, CHEST DISCOMFORT, ASTHMA"
high cotton essentials salve, Cosmetics,"Rash, Pruritus, Hypersensitivity, Erythema, Burning sensation"
high impact mascara, Cosmetics,"Paraesthesia, Hypersensitivity, Headache, Burning sensation"
himalaya nourishing night cream, Cosmetics,"RHINORRHOEA, RASH PAPULAR, EXCORIATION, EPISTAXIS, COUGH"
himalaya organiques, Cosmetics,FACE OEDEMA
hollywood beauty imports tea tree oil, Cosmetics,"Skin discolouration, Scab, Erythema, Burning sensation, Alopecia"
hollywood ink temporary tattoo ink, Cosmetics,RASH
hollywood tans awsum tanning accelerator, Cosmetics,"LOSS OF CONSCIOUSNESS, HEPATIC ENZYME INCREASED, FLUSHING"
home hair color, Cosmetics,ALOPECIA
homemade craftbar soap, Cosmetics,"Nausea, Migraine, Dyspnoea, Dysgeusia, Dizziness, Nausea, Migraine, Dyspnoea, Dizziness"
honest body lotion, Cosmetics,DERMATITIS CONTACT
honest company wipes, Cosmetics,Eye irritation
honest perfectly gentle sweet orange vanilla scent, Cosmetics,"EYE IRRITATION, EYE IRRITATION, EYE IRRITATION"
honest wipes, Cosmetics,"Bacterial infection, Bacterial infection"
honey bee skin healing cream, Cosmetics,"Swelling, Paraesthesia"
honey brazilian keratin treatment, Cosmetics,"RASH, EYE IRRITATION"
honey whipped face and body lotion rosewood, Cosmetics,Eye pain
honeydew naturals be free deodorant mountain breez, Cosmetics,"RASH PAPULAR, RASH, PAIN, LYMPHATIC DISORDER"
hoof stop the bite nail treatment, Cosmetics,"ORAL DYSAESTHESIA, NAUSEA, MYALGIA, MALAISE, FREQUENT BOWEL MOVEMENTS, FATIGUE, DYSGEUSIA, ARTHRALGIA, ABDOMINAL PAIN UPPER"
hope in a jar, Cosmetics,"VISION BLURRED, SWOLLEN TONGUE, SWELLING FACE, SWELLING, SKIN DISORDER, SKIN BURNING SENSATION, RASH PAPULAR, RASH, PRURITUS, FLUSHING, FEELING HOT, EYE SWELLING"
hope in a jar night, Cosmetics,"VISION BLURRED, SWOLLEN TONGUE, SWELLING FACE, SWELLING, SKIN DISORDER, SKIN BURNING SENSATION, RASH PAPULAR, RASH, PRURITUS, FLUSHING, FEELING HOT, EYE SWELLING"
horizon group temporary tattoos, Cosmetics,SKIN DISORDER
house of lashes eyelash adhesive, Cosmetics,"PRURITUS, EYE SWELLING, ERYTHEMA"
hoyu bigen fiblack brown 58fl color, Cosmetics,"SKIN HYPOPIGMENTATION, CAUSTIC INJURY"
hoyu bigen permanent hair color, Cosmetics,"Swelling, Swelling, Pruritus, Hypersensitivity"
hoyu bigen sumi permanent hair color  bluish black, Cosmetics,"TRICHORRHEXIS, HYPERSENSITIVITY, ALOPECIA"
hoyu color bigen oriental black, Cosmetics,"WOUND SECRETION, PRURITUS, PAIN, LOCAL SWELLING, HYPERSENSITIVITY, DERMATITIS CONTACT, BURNING SENSATION"
huggies baby wipe, Cosmetics,Urinary tract infection
huggies baby wipes, Cosmetics,"SCREAMING, ERYTHEMA"
huggies baby wipes mickey logo, Cosmetics,"PRURITUS, PRURITUS"
huggies babywipes, Cosmetics,"HYPERSENSITIVITY, WOUND SECRETION, WOUND, SKIN CANCER, RASH, PAIN, HYPERSENSITIVITY, BLOOD PRESSURE INCREASED, BIOPSY SITE UNSPECIFIED ABNORMAL"
huggies clean and fresh, Cosmetics,"RASH, ERYTHEMA"
huggies fragrance free wipes mickey mouse emblem, Cosmetics,"RASH, HYPERSENSITIVITY"
huggies natural baby wipes  white, Cosmetics,"SKIN IRRITATION, INJURY"
huggies natural care baby wipes, Cosmetics,RASH
huggies natural care baby wipes soft pack fragrance free, Cosmetics,"SKIN IRRITATION, RASH, LACERATION, DERMATITIS DIAPER"
huggies natural care diaper wipes, Cosmetics,"PAIN, DISCOMFORT, DERMATITIS DIAPER"
huggies natural care fragrance free hypoallergenic baby wipes refill box 320 count, Cosmetics,"SKIN IRRITATION, RASH, LACERATION, DERMATITIS DIAPER"
huggies natural care fragrance free wipes, Cosmetics,DERMATITIS DIAPER
huggies natural care huggies one and done huggies, Cosmetics,"RASH, LACERATION"
huggies natural care one and done, Cosmetics,"WOUND, RASH, RASH, LACERATION, DERMATITIS DIAPER"
huggies natural care unscented baby wipes, Cosmetics,"RASH, DERMATITIS DIAPER, CANDIDA INFECTION"
huggies natural care wipes, Cosmetics,"SKIN FISSURES, RASH, PRURITUS, HAEMORRHAGE, DRY SKIN, BURNING SENSATION, BLISTER, RASH, RASH"
huggies natural care wipes fragrance free, Cosmetics,Burning sensation
huggies one and done, Cosmetics,"PRURITUS, PRURITUS"
huggies shea butter lotion, Cosmetics,RASH
huggies simply clean and fresh, Cosmetics,"CRYING, PRURITUS"
huggies simply clean baby wipes, Cosmetics,"CRYING, PRURITUS"
huggies simply clean baby wipes fragrance free, Cosmetics,"RASH, HAEMORRHAGE, DERMATITIS DIAPER"
huggies wipes, Cosmetics,"RASH, HAEMORRHAGE SUBCUTANEOUS"
huggies wipes natural care fragrance free, Cosmetics,"RASH, DERMATITIS DIAPER"
hungarian paprika gel treatment, Cosmetics,"Vasodilatation, Pain of skin, Erythema, Burning sensation"
hustle butter delux, Cosmetics,"Urticaria, Scar, Hypersensitivity, Urticaria, Rash, Hypersensitivity, Dermatitis contact"
hydro boost gel cream, Cosmetics,"Skin cancer, Precancerous skin lesion, Erythema, Burning sensation, Biopsy skin abnormal"
hydroderm gentle cleanser, Cosmetics,"SWELLING, EYE SWELLING, ANAPHYLACTIC REACTION"
hydroderm wrinkle reducer and moisturizer, Cosmetics,"SWELLING, EYE SWELLING, ANAPHYLACTIC REACTION"
hydrolyze, Cosmetics,"TENDERNESS, SKIN REACTION, PAIN, PAIN, MALAISE"
hydroxatone am pm rejuventaing treatment, Cosmetics,"SKIN DISCOLOURATION, PHOTOPHOBIA, HEART RATE ABNORMAL, EYELID DISORDER, BLOOD PRESSURE INCREASED"
hydroxatone facial wrinkle cream, Cosmetics,"SWELLING, HYPERSENSITIVITY, BURNING SENSATION"
hydroxatone under eye cream, Cosmetics,"SKIN DISORDER, RASH PAPULAR, RASH, PRURITUS, HYPERSENSITIVITY, ERYTHEMA, BLISTER"
hylexin, Cosmetics,PERIORBITAL HAEMATOMA
hyroxatone antiwrinkle am pm treatment cream, Cosmetics,"RASH PAPULAR, RASH PAPULAR"
i contact lipink semipermanent, Cosmetics,"SWELLING FACE, PARAESTHESIA ORAL"
iceberg fragrance, Cosmetics,SWOLLEN TONGUE
illumaneau antiaging cream, Cosmetics,"SWELLING, SWELLING, PAIN"
im real makgeolli mask sheet, Cosmetics,"RASH, LIP SWELLING, ERYTHEMA"
iman bronzer, Cosmetics,SKIN EXFOLIATION
iman concealer, Cosmetics,"SKIN EXFOLIATION, SKIN EXFOLIATION"
iman corrective concealer, Cosmetics,"MUSCLE STRAIN, BODY SURFACE AREA DECREASED"
individual eyelashes, Cosmetics,"SKIN DISCOLOURATION, PRURITUS, HORDEOLUM, EYELID IRRITATION, ERYTHEMA, BURNING SENSATION"
indulging moisture magnolia, Cosmetics,"Skin discolouration, Erythema, Dry skin, Chemical injury, Burning sensation"
industrial strength hand healer hand lotion, Cosmetics,RASH ERYTHEMATOUS
infallible eye liner black l  oreal usa, Cosmetics,"SWOLLEN TONGUE, PARAESTHESIA, FATIGUE, DYSPNOEA, ANAPHYLACTIC SHOCK"
infallible eyeshadow, Cosmetics,"HYPERSENSITIVITY, BLISTER"
infusium 23 colourologie shampoo, Cosmetics,"TENDERNESS, RASH MACULAR, PRURITUS, BURNING SENSATION"
inkbox henna, Cosmetics,"SKIN DISORDER, PRURITUS, HYPERSENSITIVITY"
inkbox temporary tattoo patch, Cosmetics,"SWELLING, PRURITUS, ERYTHEMA"
innersense i create volume, Cosmetics,"ALLERGY TO CHEMICALS, ALLERGY TEST POSITIVE"
innersense pure harmony shampoo, Cosmetics,"ALLERGY TO CHEMICALS, ALLERGY TEST POSITIVE, DRY SKIN, BLISTER"
inoa hair dye, Cosmetics,"SWELLING, PRURITUS, HYPERSENSITIVITY, ERYTHEMA"
instant full cover concealer, Cosmetics,"Swelling, Rash, Erythema, Dermatitis, Burning sensation"
intense hydrating serum 60 matrixyl 3000  haluronic acid, Cosmetics,"SWELLING, SKIN EXFOLIATION, DEPRESSION, CONDITION AGGRAVATED, ANXIETY, ACNE, ACNE"
intense icolor eyeliner, Cosmetics,Ocular hyperaemia
intense icolor light interplay, Cosmetics,"URTICARIA, RASH, HYPERSENSITIVITY, EYE SWELLING"
intense intense eye lash tint, Cosmetics,"OCULAR HYPERAEMIA, EYE SWELLING, EYE DISCHARGE"
intensely black, Cosmetics,"Application site pain, Burning sensation"
intensive eye lash tint, Cosmetics,"TENDERNESS, OCULAR HYPERAEMIA, FOREIGN BODY IN EYE, EYE SWELLING, EYE PAIN, CAUSTIC INJURY, BURNING SENSATION, BLINDNESS"
intensive healing gold bond, Cosmetics,"SWELLING, PRURITUS, LETHARGY, FATIGUE"
intenze and eternal tattoo ink, Cosmetics,"Hypersensitivity, Dependence"
intenze ink concentrated purple, Cosmetics,"SWELLING, SKIN WRINKLING, SKIN IRRITATION, SKIN EXFOLIATION, PRURITUS, OILY SKIN, HYPERSENSITIVITY"
invisi foaming tan water, Cosmetics,"Malaise, Gait disturbance, Dizziness"
ion color brilliance bright white creme toner in platinum lace, Cosmetics,"Swelling, Deformity"
ion color brilliance intensive shine 00 clear demi permanent hair color, Cosmetics,"Swelling, Deformity"
ion color brilliance ion demi 1na, Cosmetics,"SKIN IRRITATION, PRURITUS, HEADACHE, ERYTHEMA, DRY SKIN, ALOPECIA"
ion keratin smoothing treatment, Cosmetics,COUGH
ion purifying solution, Cosmetics,"TRICHORRHEXIS, HYPOTRICHOSIS, HAIR TEXTURE ABNORMAL"
ionyx step 2 dark tan booster, Cosmetics,"SWELLING, SKIN BURNING SENSATION, RASH ERYTHEMATOUS, PAIN, HYPERSENSITIVITY, ERYTHEMA"
iq derma essentials daily renewal, Cosmetics,"THINKING ABNORMAL, HYPERSOMNIA, DRY SKIN, DECREASED APPETITE, ACTIVITIES OF DAILY LIVING IMPAIRED"
iqqu acne serum, Cosmetics,"SKIN DISCOLOURATION, PARAESTHESIA, ERYTHEMA"
iqqu jasmine rice scrub, Cosmetics,"SKIN DISCOLOURATION, PARAESTHESIA, ERYTHEMA"
iris hand soap, Cosmetics,"Skin disorder, Rash, Pruritus, Inflammation, Hypersensitivity, Erythema, Dyshidrotic eczema, Dermatitis contact"
iriscolors lipstick, Cosmetics,"PAIN, LIP SWELLING, LIP DRY, CHEILITIS"
irish spring aloe bathsize soap, Cosmetics,BURNING SENSATION
irish spring bar, Cosmetics,Cerebrovascular accident
irish spring bar original, Cosmetics,"Meningitis, Acne"
irish spring bw deep action scrub, Cosmetics,"Swelling face, Rash generalised, Pruritus, Hypersensitivity, Blister"
irish spring bw pure fresh soap, Cosmetics,"Ocular hyperaemia, Foreign body in eye, Eye irritation"
irish spring hand soap, Cosmetics,Anosmia
irish spring icy blast soap, Cosmetics,SKIN DISCOLOURATION
island white sand body scrub, Cosmetics,"Visual acuity reduced, Vision blurred, Vision blurred, Photophobia, Migraine, Eye irritation, Corneal abrasion"
iso brand option 1 perm, Cosmetics,"SKIN DISCOLOURATION, RASH PAPULAR, PAROSMIA, HYPOTRICHOSIS, HYPERSENSITIVITY, HEADACHE"
isoplus multi conditioning relaxer and styling system, Cosmetics,ALOPECIA
isoplus naturalizer shampoo, Cosmetics,"SWELLING, RASH MACULAR, HYPERSENSITIVITY, CAUSTIC INJURY, BURNING SENSATION, BLISTER"
isothiazolinone, Cosmetics,Hypersensitivity
it cosmetics antiaging moisturizer, Cosmetics,SKIN EXFOLIATION
it cosmetics foundation, Cosmetics,"Vision blurred, Ocular hyperaemia, Erythema"
it cosmetics foundation and bye bye lines serum, Cosmetics,Hypersensitivity
it cosmetics mascara, Cosmetics,"Vision blurred, Ocular hyperaemia, Erythema"
it cosmetics superhero mascara, Cosmetics,"Conjunctivitis, Abscess drainage"
it foundation, Cosmetics,Rash erythematous
its a 10, Cosmetics,"Pruritus, Hair texture abnormal, Hair texture abnormal, Hair texture abnormal, Alopecia"
its a 10 spray on hair treatment, Cosmetics,"Wound secretion, Scab, Rash generalised, Rash, Pharyngeal oedema, Hypersensitivity, Hypersensitivity, Dry skin, Dermatitis contact, Alopecia"
ivory bar soap, Cosmetics,SKIN IRRITATION
ivory soap, Cosmetics,"SKIN WARM, SKIN IRRITATION, RASH, ERYTHEMA, SNEEZING, SINUS DISORDER, RHINORRHOEA, POSTNASAL DRIP, INCREASED BRONCHIAL SECRETION, HYPERSENSITIVITY, COUGH"
j strickland african gold nolye conditioning relaxer kit neutralizing shampoo, Cosmetics,"TRICHORRHEXIS, HYPOTRICHOSIS"
j strickland african gold nolye conditioning relaxer kit nolye liquid activator, Cosmetics,"TRICHORRHEXIS, HYPOTRICHOSIS"
j strickland african gold nolye conditioning relaxer kit relaxer, Cosmetics,"TRICHORRHEXIS, HYPOTRICHOSIS"
ja alternatives interlinks, Cosmetics,"RASH GENERALISED, NEOPLASM MALIGNANT, FOOD ALLERGY"
jagua gel, Cosmetics,"Scar, Hypersensitivity, Blister"
jagua henna, Cosmetics,"INFECTION, CHEMICAL INJURY, ADVERSE REACTION"
jagua ink temporary tattoo, Cosmetics,"HYPERSENSITIVITY, DERMATITIS ALLERGIC"
jaloma, Cosmetics,"SKIN DISCOLOURATION, PRURITUS, HYPERSENSITIVITY"
jamaican black castor oil strengthen grow  restore shampoo, Cosmetics,"Trichorrhexis, Pruritus, Hair texture abnormal, Hair texture abnormal, Dermatitis, Alopecia"
jamaican mango and lime, Cosmetics,EYE IRRITATION
jamberry nail stickers, Cosmetics,"ONYCHOCLASIS, NAIL DISORDER, NAIL CANDIDA"
james charles artist palette by morphe, Cosmetics,"Rash, Eyelid oedema, Eyelid irritation"
jamieson provitamina retinol renewal night cream, Cosmetics,"SWELLING FACE, RASH ERYTHEMATOUS, PRURITUS, HEADACHE"
jamila henna, Cosmetics,"SYNCOPE, ERYTHEMA, BURNING SENSATION"
jan marini age intervention eyelash, Cosmetics,"VISION BLURRED, SKIN LESION, SKIN EXFOLIATION, SKIN EXFOLIATION, OCULAR HYPERAEMIA, OCULAR HYPERAEMIA, OCULAR HYPERAEMIA, OCULAR HYPERAEMIA, MADAROSIS, INFLAMMATION, HYPERSENSITIVITY, HYPERSENSITIVITY, EYE SWELLING, EYE SWELLING, EYE PRURITUS, EYE PRURITUS, EYE IRRITATION, EYE INFLAMMATION, EYE INFLAMMATION, ERYTHEMA OF EYELID, ERYTHEMA OF EYELID, CONJUNCTIVAL HYPERAEMIA, RETINAL TEAR, PHOTOPSIA"
jan marini lash intervention, Cosmetics,"RETINAL DISORDER, OPTIC NEURITIS, EYE DISORDER, BLINDNESS, BLINDNESS"
jan marini skin research age intervention eyelash conditioner, Cosmetics,"VISUAL ACUITY REDUCED, OPTIC NERVE INJURY"
jane iredale antioxidant hydration spray, Cosmetics,"WHEEZING, RESPIRATORY TRACT CONGESTION, RESPIRATORY DISORDER"
janmarini bioglycolic face cleanser, Cosmetics,Adverse reaction
japanese cherry blossom body lotion, Cosmetics,"WHEEZING, URTICARIA, SWELLING, RASH, PRURITUS, HYPERSENSITIVITY, DYSPNOEA, ANXIETY"
japanese cherry blossom body wash, Cosmetics,"URTICARIA, RASH, OBSTRUCTIVE AIRWAYS DISORDER, LIP SWELLING, DYSPNOEA, ANGIOEDEMA"
japanese hair straightening thermal reconditioning, Cosmetics,"SCAR, RASH, ERYTHEMA, CAUSTIC INJURY"
jason natural purifying tea tree  pure natural deodorant stick, Cosmetics,"URTICARIA, URTICARIA, SKIN LESION, RASH, PAIN, HYPERSENSITIVITY, ERYTHEMA"
jason powersmile allnatural whitening toothpaste, Cosmetics,"TENDERNESS, SWELLING, SKIN FISSURES, ERYTHEMA"
jason pure natural and organic natural fresh botanicals hair spray, Cosmetics,"PHYSICAL EXAMINATION, DYSPNOEA, ASTHMA"
jason purifying tea tree pure natural deodorant stick, Cosmetics,"RASH, ALLERGY TO CHEMICALS"
jason restorative biotin conditioner, Cosmetics,"Trichorrhexis, Pruritus, Hair texture abnormal, Dry skin"
jason restorative biotin shampoo, Cosmetics,"Trichorrhexis, Pruritus, Hair texture abnormal, Dry skin"
jason soothing aloe vera moisturizing gel, Cosmetics,"Skin discolouration, Erythema, Discomfort, Chemical injury, Blister"
jasons biotin shampoo, Cosmetics,"VISUAL ACUITY REDUCED, OCULAR HYPERAEMIA, EYE IRRITATION"
jazzing mocha 97 hair dye, Cosmetics,"URINARY TRACT INFECTION, DYSPNOEA, DYSARTHRIA, DIZZINESS, CHROMATURIA, BURNING SENSATION, ASTHENIA"
jean philippe fragrances our version of ckone by calvin klein, Cosmetics,BURNING SENSATION
jemma kidd for target, Cosmetics,"TRICHORRHEXIS, MADAROSIS"
jennifer lopez still lotion, Cosmetics,"URTICARIA, RASH PUSTULAR, PRURITUS, PHYSICAL EXAMINATION, DERMATOLOGIC EXAMINATION, DERMATITIS CONTACT"
jergens lotion, Cosmetics,"RASH, PSORIASIS, LIP SWELLING, ERYTHEMA, ECZEMA"
jergens natural glow body, Cosmetics,"URTICARIA, PRURITUS, LOSS OF CONSCIOUSNESS, DYSPNOEA, DYSPNOEA, DIZZINESS, DIZZINESS"
jergens natural glow daily moisturizer, Cosmetics,"RASH PRURITIC, RASH, HYPERSENSITIVITY, SCAR, PRURITUS, BLISTER, WOUND HAEMORRHAGE, WOUND DRAINAGE, THERMAL BURN, PAROSMIA, CAUSTIC INJURY, BURNING SENSATION"
jergens natural glow face, Cosmetics,"URTICARIA, PRURITUS, LOSS OF CONSCIOUSNESS, DYSPNOEA, DYSPNOEA, DIZZINESS, DIZZINESS"
jergens natural glow face cream, Cosmetics,"SWELLING FACE, SUNBURN, RASH PAPULAR, ERYTHEMA, CHEMICAL BURN OF SKIN, BLISTER"
jergens natural glow firming daily moisturizer, Cosmetics,"RASH PAPULAR, PRURITUS"
jergens natural glow medium to tan, Cosmetics,"Urticaria, Pruritus, Pain, Hypersensitivity"
jergens natural glow moisturizer, Cosmetics,PRURITUS
jergens natural glow self tanner body, Cosmetics,"PARAESTHESIA, FEELING HOT, DERMATITIS CONTACT, BLISTER INFECTED"
jergens natural glow self tanner face, Cosmetics,"PARAESTHESIA, FEELING HOT, DERMATITIS CONTACT, BLISTER INFECTED"
jergens natural glow selftanner, Cosmetics,"RASH PRURITIC, RASH, PRURITUS"
jergens natural glow sunless tanners  daily moisturizer, Cosmetics,"RASH PRURITIC, RASH PAPULAR, RASH, PAIN, NAUSEA, NASOPHARYNGITIS, INSOMNIA, IMPAIRED WORK ABILITY, FEELING COLD, FATIGUE, DRY SKIN, DIZZINESS, CHILLS, BED REST, ASTHENIA, ACNE"
jergens natural glow sunless tanners  facial moisturizer, Cosmetics,"RASH PRURITIC, RASH PAPULAR, RASH, PAIN, NAUSEA, NASOPHARYNGITIS, INSOMNIA, IMPAIRED WORK ABILITY, FEELING COLD, FATIGUE, DRY SKIN, DIZZINESS, CHILLS, BED REST, ASTHENIA, ACNE"
jergens natural glow wet skin, Cosmetics,"URTICARIA, RASH, PRURITUS, OEDEMA, ERYTHEMA"
jergens shea butter lotion, Cosmetics,"URTICARIA, RASH, PRURITUS, HEADACHE, DIARRHOEA"
jergens ultra healing extra dry skin moisturizer, Cosmetics,"HYPERSENSITIVITY, BURNING SENSATION, BURNING SENSATION"
jergens wet skin moisturizer, Cosmetics,RASH PRURITIC
jergens wet skin moisturizer green tea oil, Cosmetics,"SKIN IRRITATION, RASH, EYE SWELLING"
jerome russell medium brown hair color, Cosmetics,"Pain in extremity, Contusion, Arthralgia"
jeunesse regenere antiaging cream and serum, Cosmetics,"WOUND, EYE IRRITATION"
jewelry bath bombs, Cosmetics,Rash
joanne fabric face paint, Cosmetics,RASH
john frieda blonde lightening conditioner, Cosmetics,"TRICHORRHEXIS, THERMAL BURN, SECRETION DISCHARGE, PRURITUS, HAEMORRHAGE, ECZEMA, APPLICATION SITE ODOUR"
john frieda blonde lightening shampoo, Cosmetics,"TRICHORRHEXIS, THERMAL BURN, SECRETION DISCHARGE, PRURITUS, HAEMORRHAGE, ECZEMA, APPLICATION SITE ODOUR"
john frieda blonde lightening spray, Cosmetics,"TRICHORRHEXIS, THERMAL BURN, SECRETION DISCHARGE, PRURITUS, HAEMORRHAGE, ECZEMA, APPLICATION SITE ODOUR"
john frieda brunette, Cosmetics,"SKIN IRRITATION, RASH, PRURITUS, INFLAMMATION, ALOPECIA, ALOPECIA"
john frieda collection luminous color glaze, Cosmetics,"TRICHORRHEXIS, MADAROSIS, HAIR TEXTURE ABNORMAL"
john frieda collection radiant red color magnifier daily conditioner, Cosmetics,ALOPECIA
john frieda collection sheer blonde highlight activating moisturizing shampoo, Cosmetics,"TRICHORRHEXIS, MADAROSIS, HAIR TEXTURE ABNORMAL"
john frieda conditioner, Cosmetics,"SKIN IRRITATION, PRURITUS"
john frieda daily shampoo for red hair, Cosmetics,"SKIN EXFOLIATION, RASH, PRURITUS"
john frieda luxurious volume full splendor conditioner, Cosmetics,"WHITE BLOOD CELL COUNT INCREASED, URTICARIA, URTICARIA, PRURITUS, LOCAL SWELLING, DYSPNOEA"
